Wavelength (Angstroms), Normalized intensity, Element
5871.802, 9851, 
5871.804, 9852, 
5871.806, 9854, 
5871.808, 9856, 
5871.81, 9858, 
5871.812, 9859, 
5871.814, 9861, 
5871.816, 9862, 
5871.818, 9864, 
5871.82, 9865, 
5871.822, 9866, 
5871.824, 9866, 
5871.826, 9867, 
5871.828, 9868, 
5871.83, 9868, 
5871.832, 9868, 
5871.834, 9869, 
5871.836, 9869, 
5871.838, 9869, 
5871.84, 9869, 
5871.842, 9869, 
5871.844, 9868, 
5871.846, 9868, 
5871.848, 9868, 
5871.85, 9868, 
5871.852, 9868, 
5871.854, 9867, 
5871.856, 9867, 
5871.858, 9867, 
5871.86, 9867, 
5871.862, 9867, 
5871.864, 9867, 
5871.866, 9868, 
5871.868, 9868, 
5871.87, 9868, 
5871.872, 9869, 
5871.874, 9870, 
5871.876, 9871, 
5871.878, 9872, 
5871.88, 9873, 
5871.882, 9874, 
5871.884, 9875, 
5871.886, 9876, 
5871.888, 9878, 
5871.89, 9879, 
5871.892, 9880, 
5871.894, 9880, 
5871.896, 9881, 
5871.898, 9882, 
5871.9, 9883, 
5871.902, 9883, 
5871.904, 9884, 
5871.906, 9884, 
5871.908, 9885, 
5871.91, 9885, 
5871.912, 9884, 
5871.914, 9884, 
5871.916, 9884, 
5871.918, 9884, 
5871.92, 9883, 
5871.922, 9882, 
5871.924, 9882, 
5871.926, 9881, 
5871.928, 9880, 
5871.93, 9880, 
5871.932, 9879, 
5871.934, 9878, 
5871.936, 9877, 
5871.938, 9877, 
5871.94, 9877, 
5871.942, 9876, 
5871.944, 9876, 
5871.946, 9875, 
5871.948, 9874, 
5871.95, 9874, 
5871.952, 9874, 
5871.954, 9873, 
5871.956, 9872, 
5871.958, 9872, 
5871.96, 9871, 
5871.962, 9871, 
5871.964, 9871, 
5871.966, 9870, 
5871.968, 9870, 
5871.97, 9870, 
5871.972, 9869, 
5871.974, 9868, 
5871.976, 9868, 
5871.978, 9868, 
5871.98, 9867, 
5871.982, 9866, 
