wavelength,intensity,element
6558.74,0.8573,Hydrogen
6558.742,0.8572,Hydrogen
6558.744,0.8572,Hydrogen
6558.746,0.8572,Hydrogen
6558.748,0.8572,Hydrogen
6558.75,0.8571,Hydrogen
6558.752,0.857,Hydrogen
6558.754,0.8569,Hydrogen
6558.756,0.8568,Hydrogen
6558.758,0.8568,Hydrogen
6558.76,0.8567,Hydrogen
6558.762,0.8566,Hydrogen
6558.764,0.8565,Hydrogen
6558.766,0.8564,Hydrogen
6558.768,0.8562,Hydrogen
6558.77,0.8561,Hydrogen
6558.772,0.856,Hydrogen
6558.774,0.8559,Hydrogen
6558.776,0.8558,Hydrogen
6558.778,0.8556,Hydrogen
6558.78,0.8555,Hydrogen
6558.782,0.8553,Hydrogen
6558.784,0.8552,Hydrogen
6558.786,0.8549,Hydrogen
6558.788,0.8547,Hydrogen
6558.79,0.8545,Hydrogen
6558.792,0.8544,Hydrogen
6558.794,0.8542,Hydrogen
6558.796,0.854,Hydrogen
6558.798,0.8538,Hydrogen
6558.8,0.8536,Hydrogen
6558.802,0.8534,Hydrogen
6558.804,0.8531,Hydrogen
6558.806,0.8529,Hydrogen
6558.808,0.8527,Hydrogen
6558.81,0.8526,Hydrogen
6558.812,0.8524,Hydrogen
6558.814,0.8522,Hydrogen
6558.816,0.852,Hydrogen
6558.818,0.8519,Hydrogen
6558.82,0.8517,Hydrogen
6558.822,0.8515,Hydrogen
6558.824,0.8514,Hydrogen
6558.826,0.8512,Hydrogen
6558.828,0.8511,Hydrogen
6558.83,0.851,Hydrogen
6558.832,0.8509,Hydrogen
6558.834,0.8508,Hydrogen
6558.836,0.8506,Hydrogen
6558.838,0.8505,Hydrogen
6558.84,0.8504,Hydrogen
6558.842,0.8503,Hydrogen
6558.844,0.8502,Hydrogen
6558.846,0.85,Hydrogen
6558.848,0.8499,Hydrogen
6558.85,0.8498,Hydrogen
6558.852,0.8497,Hydrogen
6558.854,0.8496,Hydrogen
6558.856,0.8495,Hydrogen
6558.858,0.8494,Hydrogen
6558.86,0.8493,Hydrogen
6558.862,0.8492,Hydrogen
6558.864,0.8491,Hydrogen
6558.866,0.849,Hydrogen
6558.868,0.8489,Hydrogen
6558.87,0.8489,Hydrogen
6558.872,0.8488,Hydrogen
6558.874,0.8488,Hydrogen
6558.876,0.8487,Hydrogen
6558.878,0.8487,Hydrogen
6558.88,0.8486,Hydrogen
6558.882,0.8487,Hydrogen
6558.884,0.8487,Hydrogen
6558.886,0.8487,Hydrogen
6558.888,0.8487,Hydrogen
6558.89,0.8487,Hydrogen
6558.892,0.8487,Hydrogen
6558.894,0.8487,Hydrogen
6558.896,0.8488,Hydrogen
6558.898,0.8489,Hydrogen
6558.9,0.8489,Hydrogen
6558.902,0.849,Hydrogen
6558.904,0.8491,Hydrogen
6558.906,0.8492,Hydrogen
6558.908,0.8492,Hydrogen
6558.91,0.8493,Hydrogen
6558.912,0.8493,Hydrogen
6558.914,0.8494,Hydrogen
6558.916,0.8495,Hydrogen
6558.918,0.8496,Hydrogen
6558.92,0.8497,Hydrogen
6558.922,0.8498,Hydrogen
6558.924,0.8499,Hydrogen
6558.926,0.8498,Hydrogen
6558.928,0.8499,Hydrogen
6558.93,0.8499,Hydrogen
6558.932,0.85,Hydrogen
6558.934,0.85,Hydrogen
6558.936,0.85,Hydrogen
6558.938,0.8501,Hydrogen
6558.94,0.8501,Hydrogen
6558.942,0.8501,Hydrogen
6558.944,0.8501,Hydrogen
6558.946,0.8501,Hydrogen
6558.948,0.8501,Hydrogen
6558.95,0.8501,Hydrogen
6558.952,0.85,Hydrogen
6558.954,0.85,Hydrogen
6558.956,0.85,Hydrogen
6558.958,0.85,Hydrogen
6558.96,0.85,Hydrogen
6558.962,0.85,Hydrogen
6558.964,0.85,Hydrogen
6558.966,0.85,Hydrogen
6558.968,0.85,Hydrogen
6558.97,0.85,Hydrogen
