Wavelength (Angstroms), Normalized intensity, Element
3964.894, 3974, 
3964.896, 3971, 
3964.898, 3968, 
3964.9, 3965, 
3964.902, 3963, 
3964.904, 3961, 
3964.906, 3960, 
3964.908, 3960, 
3964.91, 3962, 
3964.912, 3963, 
3964.914, 3963, 
3964.916, 3965, 
3964.918, 3966, 
3964.92, 3968, 
3964.922, 3970, 
3964.924, 3971, 
3964.926, 3973, 
3964.928, 3975, 
3964.93, 3976, 
3964.932, 3976, 
3964.934, 3977, 
3964.936, 3976, 
3964.938, 3976, 
3964.94, 3975, 
3964.942, 3974, 
3964.944, 3973, 
3964.946, 3971, 
3964.948, 3969, 
3964.95, 3967, 
3964.952, 3965, 
3964.954, 3962, 
3964.956, 3959, 
3964.958, 3955, 
3964.96, 3952, 
3964.962, 3949, 
3964.964, 3945, 
3964.966, 3943, 
3964.968, 3939, 
3964.97, 3935, 
3964.972, 3932, 
3964.974, 3928, 
3964.976, 3924, 
3964.978, 3920, 
3964.98, 3916, 
3964.982, 3912, 
3964.984, 3908, 
3964.986, 3905, 
3964.988, 3901, 
3964.99, 3897, 
3964.992, 3893, 
3964.994, 3889, 
3964.996, 3886, 
3964.998, 3885, 
3965.0, 3880, 
3965.002, 3879, 
3965.004, 3876, 
3965.006, 3873, 
3965.008, 3871, 
3965.01, 3870, 
3965.012, 3868, 
3965.014, 3867, 
3965.016, 3865, 
3965.018, 3864, 
3965.02, 3864, 
3965.022, 3863, 
3965.024, 3862, 
3965.026, 3862, 
3965.028, 3862, 
3965.03, 3862, 
3965.032, 3861, 
3965.034, 3861, 
3965.036, 3860, 
3965.038, 3859, 
3965.04, 3858, 
3965.042, 3857, 
3965.044, 3856, 
3965.046, 3855, 
3965.048, 3854, 
3965.05, 3853, 
3965.052, 3851, 
3965.054, 3850, 
3965.056, 3850, 
3965.058, 3848, 
3965.06, 3846, 
3965.062, 3844, 
3965.064, 3842, 
3965.066, 3840, 
3965.068, 3837, 
3965.07, 3835, 
3965.072, 3832, 
3965.074, 3830, 
3965.076, 3827, 
3965.078, 3824, 
3965.08, 3821, 
3965.082, 3818, 
3965.084, 3817, 
3965.086, 3814, 
3965.088, 3812, 
3965.09, 3810, 
