Wavelength (Angstroms), Normalized intensity, Element
6168.976, 6503, 
6168.978, 6365, 
6168.98, 6227, 
6168.982, 6092, 
6168.984, 5955, 
6168.986, 5820, 
6168.988, 5683, 
6168.99, 5543, 
6168.992, 5400, 
6168.994, 5256, 
6168.996, 5111, 
6168.998, 4968, 
6169.0, 4826, 
6169.002, 4688, 
6169.004, 4561, 
6169.006, 4438, 
6169.008, 4315, 
6169.01, 4192, 
6169.012, 4075, 
6169.014, 3965, 
6169.016, 3859, 
6169.018, 3761, 
6169.02, 3666, 
6169.022, 3581, 
6169.024, 3503, 
6169.026, 3433, 
6169.028, 3370, 
6169.03, 3317, 
6169.032, 3268, 
6169.034, 3229, 
6169.036, 3198, 
6169.038, 3173, 
6169.04, 3159, 
6169.042, 3152, 
6169.044, 3156, 
6169.046, 3169, 
6169.048, 3190, 
6169.05, 3217, 
6169.052, 3258, 
6169.054, 3302, 
6169.056, 3359, 
6169.058, 3424, 
6169.06, 3501, 
6169.062, 3586, 
6169.064, 3685, 
6169.066, 3795, 
6169.068, 3913, 
6169.07, 4038, 
6169.072, 4171, 
6169.074, 4313, 
6169.076, 4461, 
6169.078, 4616, 
6169.08, 4776, 
6169.082, 4938, 
6169.084, 5104, 
6169.086, 5274, 
6169.088, 5444, 
6169.09, 5609, 
6169.092, 5770, 
6169.094, 5930, 
6169.096, 6092, 
6169.098, 6258, 
6169.1, 6425, 
6169.102, 6582, 
6169.104, 6731, 
6169.106, 6873, 
6169.108, 7011, 
6169.11, 7144, 
6169.112, 7267, 
6169.114, 7386, 
6169.116, 7499, 
6169.118, 7609, 
6169.12, 7715, 
6169.122, 7821, 
6169.124, 7915, 
6169.126, 8006, 
6169.128, 8091, 
6169.13, 8170, 
6169.132, 8246, 
6169.134, 8321, 
6169.136, 8392, 
6169.138, 8458, 
6169.14, 8518, 
6169.142, 8574, 
6169.144, 8628, 
6169.146, 8678, 
6169.148, 8725, 
6169.15, 8770, 
6169.152, 8814, 
6169.154, 8855, 
6169.156, 8893, 
6169.158, 8928, 
6169.16, 8959, 
6169.162, 8988, 
6169.164, 9017, 
6169.166, 9045, 
6169.168, 9070, 
6169.17, 9095, 
6169.172, 9116, 
6169.174, 9136, 
6169.176, 9156, 
6169.178, 9175, 
6169.18, 9193, 
6169.182, 9210, 
6169.184, 9224, 
6169.186, 9239, 
6169.188, 9253, 
6169.19, 9267, 
6169.192, 9280, 
6169.194, 9293, 
6169.196, 9306, 
6169.198, 9317, 
6169.2, 9328, 
6169.202, 9339, 
6169.204, 9349, 
6169.206, 9359, 
6169.208, 9369, 
6169.21, 9379, 
6169.212, 9388, 
6169.214, 9397, 
6169.216, 9406, 
6169.218, 9415, 
6169.22, 9423, 
6169.222, 9430, 
6169.224, 9439, 
6169.226, 9446, 
6169.228, 9454, 
6169.23, 9461, 
6169.232, 9467, 
6169.234, 9473, 
6169.236, 9479, 
6169.238, 9484, 
6169.24, 9490, 
6169.242, 9495, 
6169.244, 9499, 
6169.246, 9503, 
6169.248, 9507, 
6169.25, 9511, 
6169.252, 9514, 
6169.254, 9516, 
6169.256, 9518, 
6169.258, 9521, 
6169.26, 9523, 
6169.262, 9525, 
6169.264, 9527, 
6169.266, 9527, 
6169.268, 9527, 
6169.27, 9528, 
6169.272, 9528, 
6169.274, 9529, 
6169.276, 9529, 
6169.278, 9529, 
6169.28, 9529, 
6169.282, 9528, 
6169.284, 9527, 
6169.286, 9527, 
6169.288, 9527, 
6169.29, 9526, 
6169.292, 9525, 
6169.294, 9523, 
6169.296, 9523, 
6169.298, 9522, 
6169.3, 9521, 
6169.302, 9519, 
6169.304, 9518, 
6169.306, 9517, 
6169.308, 9515, 
6169.31, 9514, 
6169.312, 9511, 
6169.314, 9509, 
6169.316, 9507, 
6169.318, 9505, 
6169.32, 9503, 
6169.322, 9501, 
6169.324, 9498, 
6169.326, 9495, 
6169.328, 9493, 
6169.33, 9490, 
6169.332, 9487, 
6169.334, 9483, 
6169.336, 9481, 
6169.338, 9478, 
6169.34, 9474, 
6169.342, 9469, 
6169.344, 9465, 
6169.346, 9461, 
6169.348, 9457, 
6169.35, 9452, 
6169.352, 9447, 
6169.354, 9440, 
6169.356, 9434, 
6169.358, 9429, 
6169.36, 9421, 
6169.362, 9415, 
6169.364, 9408, 
6169.366, 9401, 
6169.368, 9393, 
6169.37, 9385, 
6169.372, 9376, 
6169.374, 9366, 
6169.376, 9356, 
6169.378, 9346, 
6169.38, 9335, 
6169.382, 9323, 
6169.384, 9312, 
6169.386, 9300, 
6169.388, 9288, 
6169.39, 9275, 
6169.392, 9261, 
6169.394, 9246, 
6169.396, 9231, 
6169.398, 9217, 
6169.4, 9201, 
6169.402, 9185, 
6169.404, 9168, 
6169.406, 9149, 
6169.408, 9131, 
6169.41, 9111, 
6169.412, 9089, 
6169.414, 9066, 
6169.416, 9041, 
6169.418, 9016, 
6169.42, 8988, 
6169.422, 8959, 
6169.424, 8927, 
6169.426, 8894, 
6169.428, 8857, 
6169.43, 8818, 
6169.432, 8776, 
6169.434, 8733, 
6169.436, 8689, 
6169.438, 8643, 
6169.44, 8594, 
6169.442, 8543, 
6169.444, 8487, 
6169.446, 8425, 
6169.448, 8360, 
6169.45, 8292, 
6169.452, 8222, 
6169.454, 8152, 
6169.456, 8079, 
6169.458, 8006, 
6169.46, 7925, 
6169.462, 7843, 
6169.464, 7755, 
6169.466, 7664, 
6169.468, 7571, 
6169.47, 7476, 
6169.472, 7375, 
6169.474, 7273, 
6169.476, 7164, 
6169.478, 7052, 
6169.48, 6938, 
6169.482, 6818, 
6169.484, 6696, 
6169.486, 6575, 
6169.488, 6451, 
6169.49, 6324, 
6169.492, 6191, 
6169.494, 6059, 
6169.496, 5929, 
6169.498, 5794, 
6169.5, 5654, 
6169.502, 5515, 
6169.504, 5379, 
6169.506, 5242, 
6169.508, 5103, 
6169.51, 4963, 
6169.512, 4824, 
6169.514, 4686, 
6169.516, 4549, 
6169.518, 4416, 
6169.52, 4284, 
6169.522, 4151, 
6169.524, 4022, 
6169.526, 3899, 
6169.528, 3779, 
6169.53, 3665, 
6169.532, 3554, 
6169.534, 3450, 
6169.536, 3350, 
6169.538, 3256, 
6169.54, 3169, 
6169.542, 3087, 
6169.544, 3014, 
6169.546, 2949, 
6169.548, 2892, 
6169.55, 2841, 
6169.552, 2799, 
6169.554, 2759, 
6169.556, 2727, 
6169.558, 2702, 
6169.56, 2682, 
6169.562, 2667, 
6169.564, 2659, 
6169.566, 2658, 
6169.568, 2663, 
6169.57, 2675, 
6169.572, 2692, 
6169.574, 2715, 
6169.576, 2746, 
6169.578, 2786, 
6169.58, 2832, 
6169.582, 2888, 
6169.584, 2953, 
6169.586, 3026, 
6169.588, 3108, 
6169.59, 3197, 
6169.592, 3297, 
6169.594, 3409, 
6169.596, 3530, 
6169.598, 3657, 
6169.6, 3788, 
6169.602, 3928, 
6169.604, 4076, 
6169.606, 4232, 
6169.608, 4393, 
6169.61, 4552, 
6169.612, 4710, 
6169.614, 4872, 
6169.616, 5039, 
6169.618, 5206, 
6169.62, 5374, 
6169.622, 5539, 
6169.624, 5696, 
6169.626, 5853, 
6169.628, 6011, 
6169.63, 6171, 
6169.632, 6328, 
6169.634, 6478, 
6169.636, 6620, 
6169.638, 6755, 
6169.64, 6882, 
6169.642, 7009, 
6169.644, 7135, 
6169.646, 7253, 
6169.648, 7364, 
6169.65, 7468, 
6169.652, 7569, 
6169.654, 7665, 
6169.656, 7756, 
6169.658, 7844, 
6169.66, 7926, 
6169.662, 8004, 
6169.664, 8080, 
6169.666, 8152, 
6169.668, 8222, 
6169.67, 8287, 
6169.672, 8347, 
6169.674, 8406, 
6169.676, 8462, 
6169.678, 8517, 
6169.68, 8568, 
6169.682, 8616, 
6169.684, 8663, 
6169.686, 8707, 
6169.688, 8750, 
6169.69, 8790, 
6169.692, 8829, 
6169.694, 8867, 
6169.696, 8903, 
6169.698, 8937, 
6169.7, 8969, 
6169.702, 8998, 
6169.704, 9027, 
6169.706, 9053, 
6169.708, 9079, 
