Wavelength (Angstroms), Normalized intensity, Element
5886.038, 9769, 
5886.04, 9771, 
5886.042, 9772, 
5886.044, 9773, 
5886.046, 9774, 
5886.048, 9775, 
5886.05, 9775, 
5886.052, 9776, 
5886.054, 9776, 
5886.056, 9777, 
5886.058, 9777, 
5886.06, 9778, 
5886.062, 9778, 
5886.064, 9780, 
5886.066, 9781, 
5886.068, 9781, 
5886.07, 9781, 
5886.072, 9781, 
5886.074, 9782, 
5886.076, 9782, 
5886.078, 9782, 
5886.08, 9782, 
5886.082, 9782, 
5886.084, 9782, 
5886.086, 9782, 
5886.088, 9782, 
5886.09, 9782, 
5886.092, 9782, 
5886.094, 9781, 
5886.096, 9781, 
5886.098, 9780, 
5886.1, 9780, 
5886.102, 9780, 
5886.104, 9779, 
5886.106, 9779, 
5886.108, 9778, 
5886.11, 9777, 
5886.112, 9777, 
5886.114, 9776, 
5886.116, 9776, 
5886.118, 9775, 
5886.12, 9774, 
5886.122, 9773, 
5886.124, 9772, 
5886.126, 9772, 
5886.128, 9771, 
5886.13, 9770, 
5886.132, 9769, 
5886.134, 9768, 
5886.136, 9766, 
5886.138, 9765, 
5886.14, 9763, 
5886.142, 9761, 
5886.144, 9760, 
5886.146, 9758, 
5886.148, 9756, 
5886.15, 9755, 
5886.152, 9753, 
5886.154, 9751, 
5886.156, 9749, 
5886.158, 9747, 
5886.16, 9745, 
5886.162, 9744, 
5886.164, 9742, 
5886.166, 9739, 
5886.168, 9737, 
5886.17, 9735, 
5886.172, 9733, 
5886.174, 9731, 
5886.176, 9729, 
5886.178, 9727, 
5886.18, 9725, 
5886.182, 9723, 
5886.184, 9721, 
5886.186, 9719, 
5886.188, 9718, 
5886.19, 9716, 
5886.192, 9715, 
5886.194, 9713, 
5886.196, 9713, 
5886.198, 9712, 
5886.2, 9710, 
5886.202, 9710, 
5886.204, 9709, 
5886.206, 9709, 
5886.208, 9708, 
5886.21, 9708, 
5886.212, 9707, 
5886.214, 9707, 
5886.216, 9707, 
5886.218, 9707, 
5886.22, 9707, 
5886.222, 9707, 
5886.224, 9708, 
5886.226, 9708, 
5886.228, 9708, 
5886.23, 9709, 
5886.232, 9709, 
5886.234, 9710, 
5886.236, 9711, 
5886.238, 9712, 
5886.24, 9713, 
5886.242, 9713, 
5886.244, 9714, 
5886.246, 9715, 
5886.248, 9716, 
5886.25, 9718, 
5886.252, 9719, 
5886.254, 9719, 
5886.256, 9720, 
5886.258, 9721, 
5886.26, 9721, 
5886.262, 9722, 
5886.264, 9722, 
5886.266, 9723, 
5886.268, 9723, 
5886.27, 9723, 
5886.272, 9722, 
5886.274, 9721, 
5886.276, 9720, 
5886.278, 9718, 
5886.28, 9716, 
5886.282, 9714, 
5886.284, 9712, 
5886.286, 9709, 
5886.288, 9706, 
5886.29, 9703, 
5886.292, 9699, 
5886.294, 9696, 
5886.296, 9691, 
5886.298, 9687, 
5886.3, 9683, 
5886.302, 9679, 
5886.304, 9675, 
5886.306, 9672, 
5886.308, 9668, 
5886.31, 9664, 
5886.312, 9660, 
5886.314, 9658, 
5886.316, 9655, 
5886.318, 9654, 
5886.32, 9653, 
5886.322, 9652, 
5886.324, 9652, 
5886.326, 9652, 
5886.328, 9652, 
5886.33, 9653, 
5886.332, 9655, 
5886.334, 9658, 
5886.336, 9661, 
5886.338, 9664, 
5886.34, 9667, 
5886.342, 9671, 
5886.344, 9674, 
5886.346, 9678, 
5886.348, 9682, 
